gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_00054:3p	7	92.2	0	0.0821	0.924	7	7	7	7
UMAG_00054:5p	3	39.5	0	0.0821	0.924	3	3	3	3
UMAG_00081:3p	367	5462	0	0.0733	0.933	367	389	367	389
UMAG_00081:5p	323	5154	0	0.069	0.937	323	338	323	338
UMAG_00105:3p	1006	11592	0.953	0.0911	0.913	1006	1055	1006	1055
UMAG_00105:5p	966	12692	0.397	0.0811	0.924	966	1021	966	1021
UMAG_00159:3p	9825	92175	0.398	0.115	0.893	9825	10653	9825	10653
UMAG_00159:5p	116	1529	0	0.0821	0.924	116	116	116	116
UMAG_00187:3p	30446	304530	0	0.111	0.9	30446	33838	30446	33838
UMAG_00187:5p	27549	302650	0	0.1	0.909	27549	30313	27549	30313
UMAG_00558:3p	1169	20147	0	0.0631	0.942	1169	1232	1169	1232
UMAG_00558:5p	1038	13269	0.459	0.0832	0.922	1038	1097	1038	1097
UMAG_00781:3p	937	14147	0.0317	0.0717	0.934	937	995	937	995
UMAG_00781:5p	950	14703	0.376	0.0694	0.935	950	992	950	992
UMAG_00792:3p	821	10851	0	0.0819	0.924	821	888	821	888
UMAG_00792:5p	824	8751	0.943	0.0987	0.906	824	870	824	870
UMAG_00793:3p	8163	137041	0	0.0636	0.94	8163	8671	8163	8671
UMAG_00793:5p	7477	107923	0.301	0.0733	0.931	7477	7890	7477	7890
UMAG_00795:3p	38	514	0.433	0.0802	0.926	38	39	38	39
UMAG_00795:5p	43	588	0.464	0.0795	0.927	43	44	43	44
UMAG_00823:3p	1570	29232	0	0.0582	0.946	1570	1648	1570	1648
UMAG_00823:5p	1030	16239	0.954	0.0676	0.937	1030	1061	1030	1061
UMAG_00885:3p	987	15066	0.403	0.0702	0.934	987	1031	987	1031
UMAG_00885:5p	943	12402	0.386	0.0811	0.924	943	997	943	997
UMAG_01018:3p	9319	170729	0.0808	0.0578	0.945	9319	9795	9319	9795
UMAG_01018:5p	12904	190695	0	0.0727	0.932	12904	13835	12904	13835
UMAG_01082:3p	7859	114637	0.0738	0.0733	0.931	7859	8382	7859	8382
UMAG_01082:5p	58	764	0	0.0821	0.924	58	58	58	58
UMAG_01235:3p	427	5631	0.896	0.0807	0.924	427	444	427	444
UMAG_01235:5p	282	4164	0.85	0.0735	0.932	282	290	282	290
UMAG_01236:3p	29973	281059	0	0.119	0.893	29973	33565	29973	33565
UMAG_01236:5p	18766	299248	0	0.067	0.937	18766	20013	18766	20013
UMAG_01237:3p	1119	18077	0.405	0.0664	0.938	1119	1165	1119	1165
UMAG_01237:5p	1246	17901	0.316	0.0744	0.93	1246	1312	1246	1312
UMAG_01238:3p	1324	15399	0.726	0.0906	0.914	1324	1396	1324	1396
UMAG_01238:5p	1255	14365	0.962	0.0916	0.913	1255	1316	1255	1316
UMAG_01239:3p	1247	21855	0.0308	0.0619	0.943	1247	1309	1247	1309
UMAG_01239:5p	1369	21476	0.0318	0.0688	0.936	1369	1451	1369	1451
UMAG_01240:3p	1673	32402	0	0.056	0.948	1673	1752	1673	1752
UMAG_01240:5p	1248	13291	0.962	0.0984	0.906	1248	1315	1248	1315
UMAG_01289:3p	590	7798	0.681	0.0805	0.924	590	617	590	617
UMAG_01289:5p	758	11679	0.0902	0.0703	0.935	758	800	758	800
UMAG_01297:3p	513	5870	0.491	0.0926	0.913	513	548	513	548
UMAG_01297:5p	346	5656	0.0471	0.0675	0.939	346	360	346	360
UMAG_01300:3p	2463	37277	0	0.0712	0.934	2463	2632	2463	2632
UMAG_01300:5p	1826	27638	0	0.0713	0.934	1826	1950	1826	1950
UMAG_01301:3p	1159	14995	0.0747	0.0833	0.923	1159	1248	1159	1248
UMAG_01301:5p	1084	18836	0.342	0.0622	0.942	1084	1125	1084	1125
UMAG_01302:3p	2178	22761	0.192	0.103	0.904	2178	2376	2178	2376
UMAG_01302:5p	1568	23222	0.376	0.072	0.932	1568	1645	1568	1645
UMAG_01375:3p	1309	14249	0.963	0.0963	0.908	1309	1377	1309	1377
UMAG_01375:5p	763	15145	0.0319	0.0559	0.95	763	789	763	789
UMAG_01553:3p	6	79.1	0	0.0821	0.924	6	6	6	6
UMAG_01553:5p	5	65.9	0	0.0821	0.924	5	5	5	5
UMAG_01689:3p	1020	13054	0.0847	0.0841	0.922	1020	1099	1020	1099
UMAG_01689:5p	737	8439	0.937	0.0917	0.913	737	774	737	774
UMAG_01690:3p	4	52.7	0	0.0821	0.924	4	4	4	4
UMAG_01690:5p	6	79.1	0	0.0821	0.924	6	6	6	6
UMAG_01779:3p	11	145	0	0.0821	0.924	11	11	11	11
UMAG_01779:5p	7	92.2	0	0.0821	0.924	7	7	7	7
UMAG_01820:3p	955	15645	0.0402	0.0663	0.939	955	1006	955	1006
UMAG_01820:5p	1375	21793	0	0.0683	0.937	1375	1461	1375	1461
UMAG_01854:3p	11166	143742	0.0783	0.0836	0.922	11166	12022	11166	12022
UMAG_01854:5p	13486	170756	0.0885	0.0851	0.921	13486	14530	13486	14530
UMAG_01858:3p	3110	47730	0	0.0701	0.935	3110	3321	3110	3321
UMAG_01858:5p	2258	26735	0.978	0.0885	0.916	2258	2361	2258	2361
UMAG_01940:3p	16486	159862	0.0825	0.114	0.897	16486	18222	16486	18222
UMAG_01940:5p	10524	121278	0.341	0.0927	0.913	10524	11255	10524	11255
UMAG_01987:3p	1267	10344	0.961	0.129	0.878	1267	1364	1267	1364
UMAG_01987:5p	1157	14588	0.4	0.0844	0.921	1157	1227	1157	1227
UMAG_01997:3p	2253	44221	0.103	0.0547	0.949	2253	2349	2253	2349
UMAG_01997:5p	2739	40692	0	0.0725	0.933	2739	2932	2739	2932
UMAG_02006:3p	811	11466	0	0.0766	0.929	811	870	811	870
UMAG_02006:5p	614	10274	0.348	0.0652	0.94	614	636	614	636
UMAG_02011:3p	1271	13091	0.721	0.102	0.903	1271	1353	1271	1353
UMAG_02011:5p	1038	18168	0.322	0.0618	0.943	1038	1077	1038	1077
UMAG_02135:3p	779	11400	0.69	0.073	0.932	779	809	779	809
UMAG_02135:5p	636	14466	0	0.0501	0.956	636	650	636	650
UMAG_02137:3p	3	39.5	0	0.0821	0.924	3	3	3	3
UMAG_02137:5p	2	26.4	0	0.0821	0.924	2	2	2	2
UMAG_02138:3p	12	158	0	0.0821	0.924	12	12	12	12
UMAG_02138:5p	24	316	0	0.0821	0.924	24	24	24	24
UMAG_02139:3p	2	26.4	0	0.0821	0.924	2	2	2	2
UMAG_02139:5p	5	65.9	0	0.0821	0.924	5	5	5	5
UMAG_02141:3p	291	4520	0.854	0.0704	0.936	291	298	291	298
UMAG_02141:5p	248	4442	0	0.063	0.944	248	253	248	253
UMAG_02192:3p	825	11071	0.317	0.0797	0.925	825	873	825	873
UMAG_02192:5p	499	8055	0.3	0.0676	0.938	499	518	499	518
UMAG_02193:3p	1016	11161	0.953	0.0955	0.909	1016	1069	1016	1069
UMAG_02193:5p	1002	13871	0.36	0.0772	0.928	1002	1056	1002	1056
UMAG_02229:3p	14681	177163	0.069	0.0897	0.917	14681	15900	14681	15900
UMAG_02229:5p	13591	191890	0	0.0763	0.929	13591	14623	13591	14623
UMAG_02239:3p	4029	39647	0.668	0.108	0.898	4029	4300	4029	4300
UMAG_02239:5p	2470	55736	0	0.0479	0.956	2470	2569	2470	2569
UMAG_02243:3p	1601	12134	0.97	0.14	0.868	1601	1732	1601	1732
UMAG_02243:5p	1644	23995	0.0671	0.0737	0.931	1644	1751	1644	1751
UMAG_02294:3p	699	13428	0.0222	0.0577	0.948	699	724	699	724
UMAG_02294:5p	768	10899	0.939	0.0749	0.93	768	795	768	795
UMAG_02295:3p	1384	24975	0.043	0.06	0.945	1384	1450	1384	1450
UMAG_02295:5p	1387	16714	0.301	0.0886	0.917	1387	1483	1387	1483
UMAG_02297:3p	7	92.2	0	0.0821	0.924	7	7	7	7
UMAG_02297:5p	1180	16279	0.96	0.0765	0.928	1180	1224	1180	1224
UMAG_02298:3p	1145	13435	0.664	0.09	0.915	1145	1209	1145	1209
UMAG_02298:5p	1055	12718	0.955	0.0872	0.917	1055	1103	1055	1103
UMAG_02299:3p	1253	11313	0.962	0.116	0.889	1253	1337	1253	1337
UMAG_02299:5p	1218	13823	0.961	0.0924	0.912	1218	1278	1218	1278
UMAG_02430:3p	5175	75762	0	0.0735	0.932	5175	5550	5175	5550
UMAG_02430:5p	6349	75447	0.036	0.0913	0.916	6349	6905	6349	6905
UMAG_02466:3p	623	8181	0.926	0.0807	0.924	623	648	623	648
UMAG_02466:5p	1392	22033	0.137	0.068	0.937	1392	1467	1392	1467
UMAG_02473:3p	10	128	0.167	0.0841	0.922	10	11	10	11
UMAG_02473:5p	10	128	0.167	0.0841	0.922	10	11	10	11
UMAG_02474:3p	568	7563	0.324	0.0804	0.925	568	601	568	601
UMAG_02474:5p	655	10752	0.0969	0.0665	0.939	655	686	655	686
UMAG_02475:3p	1226	13784	0.594	0.0941	0.911	1226	1302	1226	1302
UMAG_02475:5p	1142	14768	0.37	0.0824	0.923	1142	1210	1142	1210
UMAG_02533:3p	19	250	0	0.0821	0.924	19	19	19	19
UMAG_02533:5p	38	501	0	0.0821	0.924	38	38	38	38
UMAG_02535:3p	17562	192988	0.175	0.0985	0.909	17562	19039	17562	19039
UMAG_02535:5p	18463	229440	0.0282	0.0871	0.92	18463	20002	18463	20002
UMAG_02537:3p	1723	17463	0.962	0.104	0.901	1723	1820	1723	1820
UMAG_02537:5p	1279	18667	0.963	0.0724	0.931	1279	1323	1279	1323
UMAG_02538:3p	1641	25147	0	0.0705	0.935	1641	1750	1641	1750
UMAG_02538:5p	1006	14252	0.943	0.0748	0.929	1006	1042	1006	1042
UMAG_02560:3p	262	3425	0	0.0827	0.923	262	284	262	284
UMAG_02560:5p	185	2639	0	0.0765	0.93	185	196	185	196
UMAG_02611:3p	1046	19554	0	0.0585	0.947	1046	1094	1046	1094
UMAG_02611:5p	1441	21186	0	0.0735	0.932	1441	1542	1441	1542
UMAG_02813:3p	932	14450	0.0741	0.0698	0.936	932	985	932	985
UMAG_02813:5p	1189	14125	0.96	0.0884	0.916	1189	1244	1189	1244
UMAG_02826:3p	852	11022	0.945	0.0816	0.923	852	887	852	887
UMAG_02826:5p	791	9443	0.941	0.0881	0.916	791	828	791	828
UMAG_02851:3p	8598	121859	0.125	0.0754	0.929	8598	9165	8598	9165
UMAG_02851:5p	11309	133519	0.15	0.0913	0.915	11309	12207	11309	12207
UMAG_02852:3p	18	237	0	0.0821	0.924	18	18	18	18
UMAG_02852:5p	26	343	0	0.0821	0.924	26	26	26	26
UMAG_02853:3p	25	302	0.334	0.0885	0.917	25	28	25	28
UMAG_02853:5p	15	187	0	0.0869	0.92	15	19	15	19
UMAG_03023:3p	13097	160745	0.357	0.0867	0.919	13097	13934	13097	13934
UMAG_03023:5p	14956	204306	0.0771	0.0785	0.927	14956	16029	14956	16029
UMAG_03046:3p	790	9930	0.0713	0.0857	0.92	790	854	790	854
UMAG_03046:5p	623	9318	0	0.0727	0.933	623	663	623	663
UMAG_03065:3p	8526	1e+05	0	0.0926	0.915	8526	9321	8526	9321
UMAG_03065:5p	7890	96718	0	0.0887	0.918	7890	8593	7890	8593
UMAG_03105:3p	176	2321	0.78	0.0813	0.924	176	183	176	183
UMAG_03105:5p	1081	16691	0.068	0.07	0.935	1081	1144	1081	1144
UMAG_03112:3p	4086	82457	0.042	0.0528	0.95	4086	4272	4086	4272
UMAG_03112:5p	4816	81301	0.0776	0.0631	0.941	4816	5083	4816	5083
UMAG_03138:3p	864	10885	0.946	0.0837	0.921	864	901	864	901
UMAG_03138:5p	1264	16691	0.39	0.0806	0.924	1264	1336	1264	1336
UMAG_03201:3p	1493	18038	0.381	0.0881	0.917	1493	1590	1493	1590
UMAG_03201:5p	1220	15868	0.391	0.0819	0.923	1220	1291	1220	1291
UMAG_03202:3p	1658	19393	0.462	0.0908	0.915	1658	1764	1658	1764
UMAG_03202:5p	1525	15222	0.968	0.105	0.9	1525	1613	1525	1613
UMAG_03223:3p	8019	102459	0.151	0.084	0.922	8019	8601	8019	8601
UMAG_03223:5p	7417	90804	0.48	0.0865	0.918	7417	7854	7417	7854
UMAG_03313:3p	235	4463	0.825	0.0603	0.947	235	236	235	236
UMAG_03313:5p	170	2066	0.774	0.0873	0.918	170	179	170	179
UMAG_03382:3p	13488	181417	0.0345	0.08	0.926	13488	14511	13488	14511
UMAG_03382:5p	7313	124088	0.32	0.0621	0.941	7313	7644	7313	7644
UMAG_03397:3p	10249	110110	0.503	0.0992	0.907	10249	10936	10249	10936
UMAG_03397:5p	5054	67631	0.99	0.078	0.925	5054	5252	5054	5252
UMAG_03564:3p	610	13023	0	0.0529	0.953	610	626	610	626
UMAG_03564:5p	982	11629	0.952	0.0887	0.916	982	1028	982	1028
UMAG_03586:3p	1528	23754	0.074	0.0692	0.936	1528	1618	1528	1618
UMAG_03586:5p	1406	23364	0.0973	0.0649	0.94	1406	1479	1406	1479
UMAG_03615:3p	687	9734	0.673	0.0753	0.929	687	715	687	715
UMAG_03615:5p	761	9834	0.321	0.0827	0.923	761	808	761	808
UMAG_03650:3p	1661	20475	0.406	0.0863	0.919	1661	1764	1661	1764
UMAG_03650:5p	1566	22478	0.0934	0.0749	0.93	1566	1668	1566	1668
UMAG_03689:3p	872	12671	0.0994	0.0743	0.931	872	926	872	926
UMAG_03689:5p	765	11796	0.301	0.07	0.935	765	800	765	800
UMAG_03744:3p	6461	64659	0.313	0.108	0.9	6461	7002	6461	7002
UMAG_03744:5p	4632	57579	0.477	0.0852	0.92	4632	4901	4632	4901
UMAG_03747:3p	1603	26371	0	0.0657	0.939	1603	1699	1603	1699
UMAG_03747:5p	1496	21780	0.0723	0.0739	0.931	1496	1593	1496	1593
UMAG_03748:3p	2391	37512	0.0765	0.0683	0.936	2391	2533	2391	2533
UMAG_03748:5p	1951	28100	0.036	0.0747	0.931	1951	2085	1951	2085
UMAG_03750:3p	1721	16503	0.145	0.113	0.896	1721	1906	1721	1906
UMAG_03750:5p	1	13.2	0	0.0821	0.924	1	1	1	1
UMAG_03751:3p	1824	24037	0	0.0821	0.924	1824	1938	1824	1938
UMAG_03751:5p	940	14829	0.95	0.0677	0.937	940	968	940	968
UMAG_03753:3p	1167	18339	0	0.0689	0.936	1167	1240	1167	1240
UMAG_03753:5p	853	13560	0.317	0.0679	0.937	853	890	853	890
UMAG_03880:3p	1173	17920	0.0398	0.0707	0.935	1173	1245	1173	1245
UMAG_03880:5p	929	14629	0.696	0.068	0.936	929	961	929	961
UMAG_04038:3p	12898	168797	0.0789	0.0822	0.924	12898	13868	12898	13868
UMAG_04038:5p	11671	159416	0.0734	0.0785	0.927	11671	12510	11671	12510
UMAG_04039:3p	8655	94846	0.391	0.0976	0.909	8655	9270	8655	9270
UMAG_04039:5p	7127	97111	0.307	0.0779	0.927	7127	7546	7127	7546
UMAG_04057:3p	3372	39747	0	0.0924	0.915	3372	3689	3372	3689
UMAG_04057:5p	2400	40205	0	0.0642	0.94	2400	2544	2400	2544
UMAG_04084:3p	5023	80442	0.303	0.066	0.938	5023	5267	5023	5267
UMAG_04084:5p	5890	105682	0.0334	0.0593	0.944	5890	6207	5890	6207
UMAG_04096:3p	1	13.2	0	0.0821	0.924	1	1	1	1
UMAG_04096:5p	3	39.5	0	0.0821	0.924	3	3	3	3
UMAG_04104:3p	16976	2e+05	0.0799	0.0921	0.915	16976	18414	16976	18414
UMAG_04104:5p	12767	162719	0	0.0851	0.922	12767	13854	12767	13854
UMAG_04111:3p	11345	178405	0	0.068	0.936	11345	12108	11345	12108
UMAG_04111:5p	12971	187887	0	0.0742	0.931	12971	13928	12971	13928
UMAG_04114:3p	3038	41191	0.456	0.0781	0.926	3038	3199	3038	3199
UMAG_04114:5p	3187	47950	0.387	0.0704	0.934	3187	3343	3187	3343
UMAG_04145:3p	1543	16394	0.969	0.0987	0.906	1543	1625	1543	1625
UMAG_04145:5p	2264	34090	0.0583	0.0713	0.934	2264	2408	2264	2408
UMAG_04185:3p	1441	13388	0.137	0.117	0.892	1441	1606	1441	1606
UMAG_04185:5p	727	10345	0	0.0762	0.93	727	779	727	779
UMAG_04189:3p	8521	82620	0.383	0.111	0.897	8521	9221	8521	9221
UMAG_04189:5p	7410	113582	0	0.07	0.935	7410	7921	7410	7921
UMAG_04282:3p	2089	32672	0.0942	0.0686	0.936	2089	2211	2089	2211
UMAG_04282:5p	1595	19728	0.385	0.086	0.919	1595	1695	1595	1695
UMAG_04400:3p	1186	10557	0.683	0.119	0.888	1186	1282	1186	1282
UMAG_04400:5p	1205	20322	0.0987	0.0641	0.941	1205	1265	1205	1265
UMAG_04696:3p	12774	166810	0.0555	0.0825	0.923	12774	13757	12774	13757
UMAG_04696:5p	15887	180412	0	0.0965	0.912	15887	17426	15887	17426
UMAG_04815:3p	7812	100990	0.143	0.083	0.923	7812	8375	7812	8375
UMAG_04815:5p	6464	76614	0.708	0.0888	0.916	6464	6804	6464	6804
UMAG_04893:3p	1163	18064	0.0798	0.0695	0.936	1163	1230	1163	1230
UMAG_04893:5p	815	13208	0.0754	0.067	0.938	815	857	815	857
UMAG_05222:3p	732	12158	0	0.0658	0.94	732	771	732	771
UMAG_05222:5p	1179	14945	0.32	0.0841	0.921	1179	1254	1179	1254
UMAG_05227:3p	1307	26523	0.0302	0.0538	0.951	1307	1358	1307	1358
UMAG_05227:5p	1790	26410	0.0503	0.0729	0.932	1790	1907	1790	1907
UMAG_05294:3p	770	11840	0	0.0707	0.935	770	818	770	818
UMAG_05294:5p	646	12296	0.287	0.0581	0.947	646	664	646	664
UMAG_05299:3p	1021	20172	0	0.0557	0.949	1021	1063	1021	1063
UMAG_05299:5p	1138	18048	0	0.0683	0.937	1138	1208	1138	1208
UMAG_05300:3p	726	10433	0	0.0754	0.93	726	777	726	777
UMAG_05300:5p	539	8776	0	0.0673	0.939	539	567	539	567
UMAG_05301:3p	2987	50655	0.0329	0.0632	0.941	2987	3155	2987	3155
UMAG_05301:5p	4066	67738	0.145	0.0639	0.94	4066	4281	4066	4281
UMAG_05302:3p	1440	20874	0.711	0.073	0.931	1440	1498	1440	1498
UMAG_05302:5p	1127	17510	0.958	0.0684	0.936	1127	1162	1127	1162
UMAG_05308:3p	1129	20970	0.0278	0.0587	0.946	1129	1179	1129	1179
UMAG_05308:5p	1414	17980	0.672	0.0831	0.921	1414	1484	1414	1484
UMAG_05310:3p	613	11212	0	0.0605	0.945	613	638	613	638
UMAG_05310:5p	427	6294	0.0469	0.0738	0.932	427	452	427	452
UMAG_05319:3p	1562	19682	0.565	0.084	0.921	1562	1646	1562	1646
UMAG_05319:5p	1245	17296	0.962	0.076	0.928	1245	1291	1245	1291
UMAG_05439:3p	12786	212772	0.0334	0.0639	0.94	12786	13548	12786	13548
UMAG_05439:5p	23719	211124	0	0.126	0.888	23719	26739	23719	26739
UMAG_05548:3p	2019	21512	0.309	0.101	0.906	2019	2181	2019	2181
UMAG_05548:5p	998	10584	0.715	0.0993	0.906	998	1061	998	1061
UMAG_05562:3p	8755	98618	0.094	0.0964	0.911	8755	9527	8755	9527
UMAG_05562:5p	8224	106541	0.0713	0.0831	0.923	8224	8853	8224	8853
UMAG_05641:3p	12751	182971	0.39	0.0735	0.93	12751	13420	12751	13420
UMAG_05641:5p	17221	236361	0	0.0786	0.927	17221	18571	17221	18571
UMAG_05733:3p	920	14661	0.138	0.0679	0.937	920	967	920	967
UMAG_05733:5p	596	10167	0.923	0.0639	0.941	596	610	596	610
UMAG_05780:3p	1731	24798	0.448	0.0742	0.93	1731	1816	1731	1816
UMAG_05780:5p	2136	19139	0.977	0.118	0.888	2136	2274	2136	2274
UMAG_05781:3p	6085	89943	0.143	0.0721	0.932	6085	6460	6085	6460
UMAG_05781:5p	7031	106920	0	0.0706	0.934	7031	7520	7031	7520
UMAG_05819:3p	1404	12473	0.966	0.118	0.887	1404	1499	1404	1499
UMAG_05819:5p	1065	19925	0	0.0585	0.947	1065	1114	1065	1114
UMAG_05861:3p	1	13.2	0	0.0821	0.924	1	1	1	1
UMAG_05861:5p	2	26.4	0	0.0821	0.924	2	2	2	2
UMAG_05926:3p	1029	12032	0.954	0.0898	0.914	1029	1078	1029	1078
UMAG_05926:5p	907	13693	0.948	0.0706	0.934	907	936	907	936
UMAG_05927:3p	8752	93489	0.157	0.102	0.906	8752	9528	8752	9528
UMAG_05927:5p	6328	99785	0.153	0.0674	0.937	6328	6687	6328	6687
UMAG_05931:3p	5670	80539	0	0.0758	0.93	5670	6096	5670	6096
UMAG_05931:5p	5737	58716	0.981	0.103	0.902	5737	6043	5737	6043
UMAG_05953:3p	1049	12173	0.631	0.0911	0.914	1049	1110	1049	1110
UMAG_05953:5p	98	1346	0.663	0.0789	0.927	98	101	98	101
UMAG_05988:3p	1265	12150	0.962	0.109	0.896	1265	1343	1265	1343
UMAG_05988:5p	1029	10136	0.692	0.107	0.898	1029	1102	1029	1102
UMAG_06064:3p	2905	44606	0.983	0.0682	0.935	2905	3001	2905	3001
