gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_00054:3p	6	30.8	0	0.242	0.805	6	6	6	6
UMAG_00054:5p	6	30.8	0	0.242	0.805	6	6	6	6
UMAG_00081:3p	447	2422	0	0.224	0.815	447	544	447	544
UMAG_00081:5p	532	2652	0	0.252	0.799	532	668	532	668
UMAG_00105:3p	397	2091	0	0.233	0.81	397	488	397	488
UMAG_00105:5p	279	1576	0	0.211	0.823	279	332	279	332
UMAG_00159:3p	9777	50819	0	0.238	0.808	9777	12104	9777	12104
UMAG_00159:5p	231	1968	0	0.122	0.883	231	234	231	234
UMAG_00187:3p	25495	122438	0	0.263	0.792	25495	32203	25495	32203
UMAG_00187:5p	29108	144359	0	0.253	0.798	29108	36459	29108	36459
UMAG_00558:3p	1360	7443	0	0.223	0.817	1360	1659	1360	1659
UMAG_00558:5p	1628	8773	0	0.227	0.814	1628	1995	1628	1995
UMAG_00781:3p	1262	6582	0	0.237	0.808	1262	1560	1262	1560
UMAG_00781:5p	1424	7494	0	0.234	0.81	1424	1756	1424	1756
UMAG_00792:3p	487	2590	0	0.23	0.812	487	597	487	597
UMAG_00792:5p	429	1977	0	0.283	0.783	429	558	429	558
UMAG_00793:3p	6239	38352	0	0.194	0.837	6239	7438	6239	7438
UMAG_00793:5p	7569	53743	0	0.163	0.859	7569	8789	7569	8789
UMAG_00795:3p	27	139	0	0.242	0.805	27	27	27	27
UMAG_00795:5p	38	195	0	0.242	0.805	38	38	38	38
UMAG_00823:3p	1646	10584	0	0.182	0.844	1646	1934	1646	1934
UMAG_00823:5p	942	9068	0	0.11	0.896	942	1021	942	1021
UMAG_00885:3p	1243	6656	0	0.229	0.813	1243	1525	1243	1525
UMAG_00885:5p	1482	7585	0	0.243	0.805	1482	1842	1482	1842
UMAG_01018:3p	5240	53501	0	0.107	0.902	5240	5776	5240	5776
UMAG_01018:5p	14648	75840	0	0.239	0.807	14648	18152	14648	18152
UMAG_01082:3p	6677	38825	0	0.207	0.828	6677	8054	6677	8054
UMAG_01082:5p	42	216	0	0.242	0.805	42	42	42	42
UMAG_01235:3p	401	2351	0	0.201	0.829	401	474	401	474
UMAG_01235:5p	309	1977	0	0.178	0.844	309	352	309	352
UMAG_01236:3p	27889	120211	0	0.302	0.768	27889	36328	27889	36328
UMAG_01236:5p	12093	100581	0	0.136	0.88	12093	13718	12093	13718
UMAG_01237:3p	560	3198	0	0.209	0.825	560	671	560	671
UMAG_01237:5p	632	3140	0	0.253	0.799	632	794	632	794
UMAG_01238:3p	925	4999	0	0.226	0.815	925	1131	925	1131
UMAG_01238:5p	983	5627	0	0.21	0.825	983	1183	983	1183
UMAG_01239:3p	786	5736	0	0.153	0.863	786	890	786	890
UMAG_01239:5p	1521	9214	0	0.196	0.835	1521	1810	1521	1810
UMAG_01240:3p	1941	10745	0	0.22	0.819	1941	2363	1941	2363
UMAG_01240:5p	1029	7623	0	0.151	0.865	1029	1168	1029	1168
UMAG_01289:3p	894	5245	0	0.203	0.83	894	1068	894	1068
UMAG_01289:5p	1047	5897	0	0.214	0.822	1047	1266	1047	1266
UMAG_01297:3p	792	4277	0	0.226	0.815	792	968	792	968
UMAG_01297:5p	358	2487	0	0.16	0.856	358	400	358	400
UMAG_01300:3p	1325	6910	0	0.237	0.808	1325	1638	1325	1638
UMAG_01300:5p	865	4740	0	0.222	0.818	865	1053	865	1053
UMAG_01301:3p	612	3662	0	0.197	0.833	612	724	612	724
UMAG_01301:5p	811	5009	0	0.19	0.838	811	955	811	955
UMAG_01302:3p	2607	11856	0	0.283	0.78	2607	3353	2607	3353
UMAG_01302:5p	1535	10041	0	0.178	0.847	1535	1796	1535	1796
UMAG_01375:3p	190	936	0	0.258	0.797	190	242	190	242
UMAG_01375:5p	174	901	0	0.239	0.807	174	215	174	215
UMAG_01553:3p	3	15.4	0	0.242	0.805	3	3	3	3
UMAG_01553:5p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_01689:3p	382	2213	0	0.204	0.827	382	453	382	453
UMAG_01689:5p	306	1681	0	0.219	0.818	306	369	306	369
UMAG_01690:3p	5	25.7	0	0.242	0.805	5	5	5	5
UMAG_01690:5p	3	15.4	0	0.242	0.805	3	3	3	3
UMAG_01779:3p	3	15.4	0	0.242	0.805	3	3	3	3
UMAG_01779:5p	9	46.2	0	0.242	0.805	9	9	9	9
UMAG_01786:3p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_01820:3p	1192	7373	0	0.19	0.838	1192	1409	1192	1409
UMAG_01820:5p	1676	10492	0	0.188	0.84	1676	1981	1676	1981
UMAG_01854:3p	11865	64420	0	0.226	0.816	11865	14538	11865	14538
UMAG_01854:5p	17540	82651	0	0.27	0.788	17540	22271	17540	22271
UMAG_01858:3p	3939	19155	0	0.259	0.794	3939	4963	3939	4963
UMAG_01858:5p	2539	18273	0	0.159	0.861	2539	2928	2539	2928
UMAG_01940:3p	12833	55384	0	0.302	0.768	12833	16719	12833	16719
UMAG_01940:5p	8698	53843	0	0.192	0.838	8698	10360	8698	10360
UMAG_01987:3p	1220	5432	0	0.293	0.775	1220	1587	1220	1587
UMAG_01987:5p	1047	7310	0	0.163	0.857	1047	1203	1047	1203
UMAG_01997:3p	1637	10613	0	0.18	0.846	1637	1920	1637	1920
UMAG_01997:5p	2566	12969	0	0.247	0.802	2566	3200	2566	3200
UMAG_02006:3p	1357	5971	0	0.298	0.773	1357	1771	1357	1771
UMAG_02006:5p	925	5453	0	0.202	0.83	925	1104	925	1104
UMAG_02011:3p	292	1592	0	0.222	0.817	292	353	292	353
UMAG_02011:5p	315	2267	0	0.152	0.861	315	344	315	344
UMAG_02135:3p	832	4851	0	0.204	0.828	832	995	832	995
UMAG_02135:5p	836	6225	0	0.15	0.866	836	944	836	944
UMAG_02137:3p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_02137:5p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_02138:3p	17	87.3	0	0.242	0.805	17	17	17	17
UMAG_02138:5p	23	118	0	0.242	0.805	23	23	23	23
UMAG_02139:3p	12	61.6	0	0.242	0.805	12	12	12	12
UMAG_02139:5p	5	25.7	0	0.242	0.805	5	5	5	5
UMAG_02141:3p	15	78.6	0	0.233	0.809	15	16	15	16
UMAG_02141:5p	21	108	0	0.242	0.805	21	21	21	21
UMAG_02192:3p	1282	7380	0	0.208	0.826	1282	1543	1282	1543
UMAG_02192:5p	899	5449	0	0.194	0.835	899	1065	899	1065
UMAG_02193:3p	1024	5856	0	0.21	0.825	1024	1233	1024	1233
UMAG_02193:5p	1540	8265	0	0.228	0.814	1540	1889	1540	1889
UMAG_02229:3p	11259	64732	0	0.21	0.826	11259	13620	11259	13620
UMAG_02229:5p	12833	66680	0	0.238	0.808	12833	15889	12833	15889
UMAG_02231:5p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_02239:3p	3494	16962	0	0.26	0.794	3494	4405	3494	4405
UMAG_02239:5p	2419	16698	0	0.167	0.855	2419	2810	2419	2810
UMAG_02243:3p	2261	10299	0	0.283	0.78	2261	2908	2261	2908
UMAG_02243:5p	2367	11691	0	0.254	0.798	2367	2971	2367	2971
UMAG_02294:3p	929	6383	0	0.166	0.854	929	1069	929	1069
UMAG_02294:5p	942	5802	0	0.191	0.838	942	1112	942	1112
UMAG_02295:3p	1298	7615	0	0.204	0.83	1298	1555	1298	1555
UMAG_02295:5p	1485	7087	0	0.266	0.79	1485	1885	1485	1885
UMAG_02297:3p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_02297:5p	1003	6599	0	0.172	0.848	1003	1140	1003	1140
UMAG_02298:3p	850	4933	0	0.206	0.828	850	1018	850	1018
UMAG_02298:5p	794	4837	0	0.193	0.836	794	938	794	938
UMAG_02299:3p	1065	5895	0	0.219	0.819	1065	1294	1065	1294
UMAG_02299:5p	804	5020	0	0.187	0.84	804	944	804	944
UMAG_02430:3p	6325	33536	0	0.232	0.811	6325	7792	6325	7792
UMAG_02430:5p	7254	37710	0	0.238	0.808	7254	8980	7254	8980
UMAG_02466:3p	635	4889	0	0.142	0.87	635	707	635	707
UMAG_02466:5p	1872	11873	0	0.185	0.842	1872	2208	1872	2208
UMAG_02473:3p	5	25.7	0	0.242	0.805	5	5	5	5
UMAG_02473:5p	7	36	0	0.242	0.805	7	7	7	7
UMAG_02474:3p	568	2731	0	0.265	0.792	568	723	568	723
UMAG_02474:5p	380	2105	0	0.217	0.819	380	458	380	458
UMAG_02475:3p	120	664	0	0.216	0.819	120	141	120	141
UMAG_02475:5p	245	1588	0	0.174	0.846	245	275	245	275
UMAG_02533:3p	13	66.8	0	0.242	0.805	13	13	13	13
UMAG_02533:5p	28	144	0	0.242	0.805	28	28	28	28
UMAG_02535:3p	5268	36141	0	0.17	0.854	5268	6148	5268	6148
UMAG_02535:5p	8217	54882	0	0.175	0.85	8217	9646	8217	9646
UMAG_02537:3p	1847	10768	0	0.206	0.828	1847	2220	1847	2220
UMAG_02537:5p	1132	9229	0	0.135	0.877	1132	1265	1132	1265
UMAG_02538:3p	1851	8607	0	0.275	0.785	1851	2367	1851	2367
UMAG_02538:5p	1072	6628	0	0.19	0.838	1072	1266	1072	1266
UMAG_02560:3p	7	36	0	0.242	0.805	7	7	7	7
UMAG_02560:5p	2	10.3	0	0.242	0.805	2	2	2	2
UMAG_02611:3p	1258	7024	0	0.217	0.821	1258	1526	1258	1526
UMAG_02611:5p	1898	10087	0	0.231	0.812	1898	2335	1898	2335
UMAG_02813:3p	954	6298	0	0.175	0.849	954	1108	954	1108
UMAG_02813:5p	1332	7977	0	0.198	0.833	1332	1588	1332	1588
UMAG_02826:3p	867	5711	0	0.175	0.848	867	1006	867	1006
UMAG_02826:5p	1076	6359	0	0.201	0.831	1076	1285	1076	1285
UMAG_02851:3p	12520	59554	0	0.266	0.79	12520	15858	12520	15858
UMAG_02851:5p	9581	57417	0	0.2	0.833	9581	11488	9581	11488
UMAG_02852:3p	21	108	0	0.242	0.805	21	21	21	21
UMAG_02852:5p	10	51.4	0	0.242	0.805	10	10	10	10
UMAG_02853:3p	5	25.7	0	0.242	0.805	5	5	5	5
UMAG_02853:5p	4	20.5	0	0.242	0.805	4	4	4	4
UMAG_03023:3p	11792	78322	0	0.177	0.849	11792	13864	11792	13864
UMAG_03023:5p	13013	78060	0	0.2	0.833	13013	15604	13013	15604
UMAG_03046:3p	835	3931	0	0.272	0.788	835	1068	835	1068
UMAG_03046:5p	1069	5509	0	0.241	0.806	1069	1326	1069	1326
UMAG_03065:3p	12223	49654	0	0.327	0.754	12223	16238	12223	16238
UMAG_03065:5p	9786	40399	0	0.32	0.758	9786	12936	9786	12936
UMAG_03105:3p	184	824	0	0.285	0.777	184	227	184	227
UMAG_03105:5p	564	4031	0	0.156	0.86	564	636	564	636
UMAG_03112:3p	4767	28527	0	0.2	0.833	4767	5712	4767	5712
UMAG_03112:5p	6441	35589	0	0.221	0.819	6441	7858	6441	7858
UMAG_03138:3p	867	4870	0	0.215	0.822	867	1048	867	1048
UMAG_03138:5p	1676	9014	0	0.228	0.814	1676	2055	1676	2055
UMAG_03201:3p	1470	7568	0	0.241	0.806	1470	1824	1470	1824
UMAG_03201:5p	1368	8176	0	0.199	0.833	1368	1632	1368	1632
UMAG_03202:3p	1530	7173	0	0.273	0.787	1530	1953	1530	1953
UMAG_03202:5p	1733	10518	0	0.195	0.835	1733	2063	1733	2063
UMAG_03223:3p	4962	28250	0	0.213	0.824	4962	6011	4962	6011
UMAG_03223:5p	4093	24538	0	0.199	0.833	4093	4901	4093	4901
UMAG_03313:3p	25	128	0	0.242	0.805	25	25	25	25
UMAG_03313:5p	20	103	0	0.242	0.805	20	20	20	20
UMAG_03382:3p	18030	88526	0	0.256	0.796	18030	22643	18030	22643
UMAG_03382:5p	6247	54283	0	0.129	0.885	6247	7031	6247	7031
UMAG_03397:3p	9974	56560	0	0.214	0.824	9974	12101	9974	12101
UMAG_03397:5p	5036	50766	0	0.109	0.901	5036	5558	5036	5558
UMAG_03564:3p	621	4988	0	0.135	0.876	621	685	621	685
UMAG_03564:5p	1160	6135	0	0.233	0.811	1160	1428	1160	1428
UMAG_03586:3p	1812	9599	0	0.232	0.811	1812	2231	1812	2231
UMAG_03586:5p	1603	9217	0	0.209	0.826	1603	1932	1603	1932
UMAG_03615:3p	1391	6914	0	0.252	0.799	1391	1744	1391	1744
UMAG_03615:5p	806	5488	0	0.167	0.853	806	927	806	927
UMAG_03650:3p	2378	13455	0	0.214	0.823	2378	2881	2378	2881
UMAG_03650:5p	2016	12836	0	0.184	0.843	2016	2377	2016	2377
UMAG_03689:3p	2676	12602	0	0.271	0.788	2676	3405	2676	3405
UMAG_03689:5p	1530	8908	0	0.206	0.828	1530	1838	1530	1838
UMAG_03744:3p	3950	19921	0	0.247	0.802	3950	4928	3950	4928
UMAG_03744:5p	3397	22301	0	0.178	0.848	3397	3991	3397	3991
UMAG_03745:5p	1	5.14	0	0.242	0.805	1	1	1	1
UMAG_03747:3p	1527	7872	0	0.241	0.806	1527	1894	1527	1894
UMAG_03747:5p	1344	8628	0	0.182	0.844	1344	1577	1344	1577
UMAG_03748:3p	2604	13601	0	0.237	0.809	2604	3219	2604	3219
UMAG_03748:5p	1321	8330	0	0.186	0.841	1321	1556	1321	1556
UMAG_03750:3p	2059	7812	0	0.364	0.736	2059	2831	2059	2831
UMAG_03751:3p	2675	12328	0	0.278	0.783	2675	3426	2675	3426
UMAG_03751:5p	1002	7769	0	0.143	0.871	1002	1127	1002	1127
UMAG_03753:3p	1494	8810	0	0.202	0.83	1494	1789	1494	1789
UMAG_03753:5p	1157	8928	0	0.144	0.87	1157	1306	1157	1306
